               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.023736,            0.045804,           0.0018507,             0.97062,             0.96112,             0.98414,             0.76961,            0.020796,             0.02792,          0.00075273,           0.0022384,           0.0022384,           0.0022384
                 100,            0.024117,            0.046189,           0.0016896,             0.96364,             0.95855,             0.98303,             0.76475,            0.020814,            0.027843,          0.00077895,           0.0021592,           0.0021592,           0.0021592
                 101,            0.024086,            0.044839,           0.0016402,              0.9646,             0.96493,             0.98392,             0.76121,            0.020937,            0.027667,          0.00076515,             0.00208,             0.00208,             0.00208
                 102,            0.023526,            0.044749,           0.0016071,              0.9611,             0.96691,             0.98452,             0.76808,            0.020612,            0.027749,           0.0007344,           0.0020008,           0.0020008,           0.0020008
                 103,            0.023583,            0.045135,           0.0016697,             0.97155,              0.9666,             0.98607,             0.77528,            0.020345,            0.027166,          0.00072398,           0.0019216,           0.0019216,           0.0019216
                 104,            0.022996,            0.044102,           0.0015788,             0.96627,             0.96887,              0.9862,             0.77096,            0.020198,            0.026866,          0.00069446,           0.0018424,           0.0018424,           0.0018424
                 105,            0.022842,            0.046317,            0.001564,             0.96711,             0.96991,             0.98438,             0.77137,            0.020344,            0.027256,          0.00069932,           0.0017632,           0.0017632,           0.0017632
                 106,            0.022957,            0.045152,           0.0014734,             0.97143,             0.96258,             0.98525,             0.77764,            0.020317,            0.027288,          0.00066855,            0.001684,            0.001684,            0.001684
                 107,            0.022877,            0.042343,           0.0014182,             0.96224,             0.96988,             0.98525,             0.77584,             0.02024,            0.026977,          0.00067815,           0.0016048,           0.0016048,           0.0016048
                 108,            0.022799,            0.043193,           0.0016881,             0.96906,             0.96904,             0.98638,             0.77934,            0.020239,            0.027025,          0.00069762,           0.0015256,           0.0015256,           0.0015256
                 109,            0.022495,            0.042979,           0.0015979,             0.96783,             0.97271,             0.98642,             0.78065,            0.020049,            0.026632,          0.00067067,           0.0014464,           0.0014464,           0.0014464
                 110,            0.022536,            0.043187,           0.0013477,               0.969,             0.97332,             0.98727,             0.78224,            0.019855,            0.026557,          0.00065511,           0.0013672,           0.0013672,           0.0013672
                 111,            0.022602,            0.043855,           0.0015921,             0.97089,              0.9682,             0.98689,             0.78596,            0.019824,            0.026455,          0.00061703,            0.001288,            0.001288,            0.001288
                 112,            0.022573,             0.04237,           0.0014564,             0.97274,             0.97063,             0.98791,             0.78204,            0.019909,            0.026399,          0.00061566,           0.0012088,           0.0012088,           0.0012088
                 113,            0.022078,             0.04302,           0.0012873,             0.97174,             0.96981,             0.98786,             0.78017,            0.019838,            0.026241,          0.00061743,           0.0011296,           0.0011296,           0.0011296
                 114,            0.022437,             0.04309,           0.0014926,             0.97303,             0.97012,             0.98741,             0.78205,            0.019737,            0.026171,          0.00058588,           0.0010504,           0.0010504,           0.0010504
                 115,            0.022506,            0.043979,           0.0014079,             0.97302,             0.96887,             0.98832,             0.78296,            0.019817,            0.026267,          0.00063972,           0.0009712,           0.0009712,           0.0009712
                 116,            0.022069,            0.043826,           0.0014456,             0.97583,             0.96775,             0.98793,              0.7891,            0.019483,            0.025772,          0.00057597,            0.000892,            0.000892,            0.000892
                 117,            0.022499,            0.043005,           0.0014745,             0.97423,             0.97142,             0.98825,             0.78385,            0.019484,            0.025767,          0.00056415,           0.0008128,           0.0008128,           0.0008128
                 118,            0.022119,            0.040537,           0.0014421,             0.97319,             0.97185,             0.98846,             0.78593,            0.019463,            0.025636,          0.00055996,           0.0007336,           0.0007336,           0.0007336
                 119,            0.021838,            0.043572,           0.0013229,              0.9729,             0.97413,             0.98882,              0.7904,            0.019469,            0.025658,          0.00055728,           0.0006544,           0.0006544,           0.0006544
                 120,            0.022028,            0.042675,           0.0013095,             0.97344,             0.97181,             0.98901,             0.78997,            0.019378,            0.025603,          0.00055011,           0.0005752,           0.0005752,           0.0005752
                 121,            0.021934,            0.041576,           0.0013911,             0.97502,             0.97306,             0.98903,             0.79191,            0.019364,            0.025559,          0.00055593,            0.000496,            0.000496,            0.000496
                 122,             0.02152,             0.04007,           0.0012997,             0.97301,             0.97142,             0.98898,             0.79283,            0.019288,            0.025403,          0.00057884,           0.0004168,           0.0004168,           0.0004168
                 123,            0.021431,            0.041703,           0.0013228,              0.9713,             0.97169,             0.98899,             0.79189,             0.01933,            0.025486,           0.0005791,           0.0003376,           0.0003376,           0.0003376
                 124,            0.021559,            0.041586,           0.0011716,             0.97276,             0.97331,             0.98942,              0.7938,            0.019198,            0.025299,          0.00057181,           0.0002584,           0.0002584,           0.0002584
